name,address,lat,lng,specialty,hours,yelp_url,phone,rating
LA Mill Coffee,1636 Silver Lake Blvd Los Angeles CA 90026,34.0899,-118.2743,Pioneer in LA specialty coffee scene,7:00 AM - 7:00 PM,https://www.yelp.com/biz/la-mill-coffee-los-angeles,(323) 663-4441,4.0
Kumquat Coffee,1834 E 7th St Los Angeles CA 90021,34.0361,-118.2294,Arts District neighborhood spot,7:00 AM - 4:00 PM,https://www.yelp.com/biz/kumquat-coffee-los-angeles,(213) 687-4441,4.2
Philz Coffee,9201 Sunset Blvd West Hollywood CA 90069,34.0901,-118.3889,Customize your perfect blend,6:00 AM - 9:00 PM,https://www.yelp.com/biz/philz-coffee-west-hollywood,(310) 887-2233,4.1
Moon Juice,8255 Melrose Ave Los Angeles CA 90046,34.0836,-118.3696,Adaptogenic drinks and coffee,8:00 AM - 8:00 PM,https://www.yelp.com/biz/moon-juice-los-angeles,(323) 454-6550,3.9
Handsome Coffee Roasters,582 Mateo St Los Angeles CA 90013,34.0394,-118.2228,Artisan roastery in Arts District,7:00 AM - 5:00 PM,https://www.yelp.com/biz/handsome-coffee-roasters-los-angeles-2,(213) 929-5555,4.3
Lamill Coffee,1636 Silver Lake Blvd Los Angeles CA 90026,34.0899,-118.2743,Specialty coffee with unique brewing methods,7:00 AM - 7:00 PM,https://www.yelp.com/biz/lamill-coffee-los-angeles,(323) 663-4441,4.2
Cognoscenti Coffee,6114 Washington Blvd Culver City CA 90232,34.0247,-118.3733,Neighborhood roaster with quality focus,6:30 AM - 6:00 PM,https://www.yelp.com/biz/cognoscenti-coffee-culver-city,(310) 568-9921,4.4
Endorffeine,727 N Broadway Los Angeles CA 90012,34.0611,-118.2397,Thai iced coffee and brewing down to a science,7:00 AM - 6:00 PM,https://www.yelp.com/biz/endorffeine-chinatown,N/A,4.5
Maru Coffee,1936 Hillhurst Ave Los Angeles CA 90027,34.1089,-118.2894,Minimalist design with pour-overs and espresso tonics,7:00 AM - 5:00 PM,https://www.yelp.com/biz/maru-coffee-los-feliz,(323) 739-4428,4.4
Kumquat Coffee,4936 York Blvd Los Angeles CA 90042,34.1270,-118.2092,Highland Park spot with matcha and breakfast burritos,7:00 AM - 4:00 PM,https://www.yelp.com/biz/kumquat-coffee-highland-park,(323) 739-6388,4.3
Be Bright Coffee,7311 Melrose Ave Los Angeles CA 90046,34.0837,-118.3483,US Barista Championships winner serving seasonal drinks,7:00 AM - 5:00 PM,https://www.yelp.com/biz/be-bright-coffee-los-angeles,(323) 951-0200,4.5
Document Coffee Bar,3850 Wilshire Blvd #107 Los Angeles CA 90010,34.0622,-118.3094,Koreatown spot with excellent cold brew and hojicha lattes,7:00 AM - 7:00 PM,https://www.yelp.com/biz/document-coffee-bar-los-angeles,(213) 739-6136,4.4
Hooked Venice,9 Dudley Ave Venice CA 90291,33.9942,-118.4718,Low-key coffee counter inside Dudley Market,7:00 AM - 6:00 PM,https://www.yelp.com/biz/hooked-venice,(310) 399-0011,4.2
Loquat Coffee,1201 Cypress Ave Los Angeles CA 90065,34.0825,-118.2378,Cypress Park excellent cold brew and espresso drinks,7:00 AM - 5:00 PM,https://www.yelp.com/biz/loquat-coffee-los-angeles,(323) 344-8292,4.3
Cafe Dulce,134 Japanese Village Plaza Mall Los Angeles CA 90012,34.0495,-118.2382,Little Tokyo classic with blueberry matcha latte,8:00 AM - 9:00 PM,https://www.yelp.com/biz/cafe-dulce-los-angeles,(213) 346-9943,4.1
Blue Bottle Coffee Arts District,582 Mateo St Los Angeles CA 90013,34.0394,-118.2228,Portland-based roaster in Arts District,7:00 AM - 6:00 PM,https://www.yelp.com/biz/blue-bottle-coffee-los-angeles-arts-district,(213) 929-5588,4.2
Boxx Coffee Roasters,950 E 3rd St #102 Los Angeles CA 90013,34.0394,-118.2228,Premium Turkish coffee with Instagram-worthy latte art,7:00 AM - 5:00 PM,https://www.yelp.com/biz/boxx-coffee-roasters-los-angeles,(213) 626-8877,4.3
Eightfold Coffee,964 Chung King Rd Los Angeles CA 90012,34.0640,-118.2377,Echo Park roaster's second location,7:30 AM - 5:00 PM,https://www.yelp.com/biz/eightfold-coffee-los-angeles,(213) 880-8012,4.4
Urth Caffe Melrose,8565 Melrose Ave West Hollywood CA 90069,34.0837,-118.3737,Organic heirloom coffee pioneer with Spanish latte,7:00 AM - 11:00 PM,https://www.yelp.com/biz/urth-caffe-west-hollywood,(310) 659-0628,4.1
The Butcher Baker Cappuccino Maker,8653 Sunset Blvd West Hollywood CA 90069,34.0901,-118.3769,Sunset Plaza spot with Colorburst Latte,7:00 AM - 9:00 PM,https://www.yelp.com/biz/the-butcher-the-baker-the-cappuccino-maker-west-hollywood,(310) 248-1818,4.0
Gravite Cafe,9274 W Sunset Blvd West Hollywood CA 90069,34.0901,-118.3853,Nitro Extra Bold Brew and turmeric-beet lattes,7:00 AM - 7:00 PM,https://www.yelp.com/biz/gravite-cafe-west-hollywood,(310) 289-8889,4.2
Good Intentions Coffee,8283 Beverly Blvd Los Angeles CA 90048,34.0761,-118.3700,Cozy hidden gem with exceptional cold brew,7:00 AM - 4:00 PM,https://www.yelp.com/biz/good-intentions-coffee-los-angeles,(323) 653-5800,4.4
Farm Cup Coffee,8136 W 3rd St Los Angeles CA 90048,34.0761,-118.3661,Quality coffee with unique drinks and convenient parking,6:30 AM - 6:00 PM,https://www.yelp.com/biz/farm-cup-coffee-los-angeles,(323) 951-6050,4.2
Alfred Coffee Beverly Hills,490 N Beverly Dr Beverly Hills CA 90210,34.0728,-118.4005,Instagram-famous coffee spot near Rodeo Drive,7:00 AM - 6:00 PM,https://www.yelp.com/biz/alfred-coffee-beverly-hills,(310) 859-9991,4.0
The Maybourne Cafe,225 N Canon Dr Beverly Hills CA 90210,34.0705,-118.3989,European-meets-Californian luxury cafe,7:00 AM - 6:00 PM,https://www.yelp.com/biz/the-maybourne-cafe-beverly-hills,(310) 860-7740,4.3
Maru Espresso Bar,9632 Little Santa Monica Blvd Beverly Hills CA 90210,34.0728,-118.4005,Beverly Hills location of minimalist coffee brand,7:00 AM - 5:00 PM,https://www.yelp.com/biz/maru-espresso-bar-beverly-hills,(310) 859-8804,4.4
Boulon Coffee,9717 S Santa Monica Blvd Beverly Hills CA 90210,34.0728,-118.4005,Avocado toast spot with pastel pink accents,7:00 AM - 5:00 PM,https://www.yelp.com/biz/boulon-coffee-beverly-hills,(310) 271-9999,4.1
Good Time,1823 E 7th St Long Beach CA 90813,33.7701,-118.1562,Massive patio for people-watching with breakfast burritos,7:00 AM - 3:00 PM,https://www.yelp.com/biz/good-time-long-beach,(562) 628-2233,4.3
Wolf Brew Coffee,4145 Norse Way Long Beach CA 90808,33.8179,-118.1451,Art gallery coffee shop with vegan donuts,7:00 AM - 7:00 PM,https://www.yelp.com/biz/wolfs-brew-coffee-long-beach,(562) 421-4145,4.5
The Library Coffee House,2245 E 7th St Long Beach CA 90804,33.7701,-118.1562,One of Long Beach's oldest and coziest spots,6:00 AM - 8:00 PM,https://www.yelp.com/biz/the-library-a-coffee-house-long-beach,(562) 438-8844,4.2
Offset Coffee,2021 E Mariposa Ave El Segundo CA 90245,33.9158,-118.4048,Lovingly roasted coffee serving South Bay,7:00 AM - 5:00 PM,https://www.yelp.com/biz/offset-coffee-el-segundo,(310) 426-9696,4.4
Two Guns Espresso,131 W Grand Ave El Segundo CA 90245,33.9158,-118.4048,South Bay favorite espresso spot,7:00 AM - 4:00 PM,https://www.yelp.com/biz/two-guns-espresso-el-segundo,(310) 322-3040,4.3
The Boy and the Bear Redondo,350 N Pacific Coast Hwy Redondo Beach CA 90277,33.8492,-118.3888,Colombian coffee near Redondo Pier in surf lodge setting,7:00 AM - 6:00 PM,https://www.yelp.com/biz/the-boy-the-bear-redondo-beach,(310) 316-4443,4.5
Klatch Coffee Redondo,306 S Pacific Coast Hwy Redondo Beach CA 90277,33.8492,-118.3888,World-searching roaster with chemical engineering precision,5:30 AM - 9:00 PM,https://www.yelp.com/biz/klatch-coffee-redondo-beach,(310) 543-5282,4.4
Roman Aroma Caffe,901 N Catalina Ave Redondo Beach CA 90277,33.8492,-118.3888,Authentic Italian cafe atmosphere,6:00 AM - 8:00 PM,https://www.yelp.com/biz/roman-aroma-caffe-redondo-beach,(310) 540-4057,4.2
Coffee Cartel,1820 S Catalina Ave Redondo Beach CA 90277,33.8492,-118.3888,Operating since 1992 with expanded offerings,6:00 AM - 7:00 PM,https://www.yelp.com/biz/coffee-cartel-redondo-beach,(310) 316-6554,4.1
Dinosaur Coffee,2300 W Sunset Blvd Los Angeles CA 90026,34.0778,-118.2667,Silver Lake freelancer paradise with outlets galore,7:00 AM - 5:00 PM,https://www.yelp.com/biz/dinosaur-coffee-los-angeles-2,(323) 661-6465,4.3
Cafe Nido,1501 Sunset Blvd Los Angeles CA 90026,34.0778,-118.2596,Private backyard feel with specialty drinks,7:00 AM - 7:00 PM,https://www.yelp.com/biz/cafe-nido-los-angeles,(323) 826-2361,4.4
How's It Going to End,1501 Sunset Blvd Los Angeles CA 90026,34.0778,-118.2596,Aesthetic coffee shop from Dinosaur Coffee owners,7:00 AM - 6:00 PM,https://www.yelp.com/biz/hows-it-going-to-end-los-angeles,(323) 826-2361,4.2
Woodcat Coffee,1532 Sunset Blvd Los Angeles CA 90026,34.0778,-118.2596,POC and woman-owned roaster with community vibes,7:00 AM - 5:00 PM,https://www.yelp.com/biz/woodcat-coffee-los-angeles,(323) 481-4900,4.5
Canyon Coffee,1357 Echo Park Ave Los Angeles CA 90026,34.0778,-118.2596,Featured in Food & Wine's best coffee list,7:00 AM - 6:00 PM,https://www.yelp.com/biz/canyon-coffee-los-angeles,(213) 481-4304,4.3
Stereoscope Coffee,1556 Sunset Blvd Los Angeles CA 90026,34.0778,-118.2596,Pour-over paradise with peonies and cola notes,7:00 AM - 5:00 PM,https://www.yelp.com/biz/stereoscope-coffee-los-angeles,(213) 413-8646,4.4
Pam's Coffy,2716 Griffith Park Blvd Los Angeles CA 90027,34.1089,-118.2894,Los Feliz featured in Food & Wine's best list,7:00 AM - 3:00 PM,https://www.yelp.com/biz/pams-coffy-los-angeles,(323) 664-7267,4.2
Civil Coffee,5951 York Blvd Los Angeles CA 90042,34.1270,-118.2092,Highland Park with Maria cookies from Spain,7:00 AM - 4:00 PM,https://www.yelp.com/biz/civil-coffee-los-angeles,(323) 739-4211,4.3
Kindness & Mischief,4935 York Blvd Los Angeles CA 90042,34.1270,-118.2092,Featured in Food & Wine's national best list,7:00 AM - 5:00 PM,https://www.yelp.com/biz/kindness-mischief-los-angeles,(323) 739-5889,4.4
Modu,5951 York Blvd Los Angeles CA 90042,34.1270,-118.2092,Highland Park featured in national best coffee list,7:00 AM - 4:00 PM,https://www.yelp.com/biz/modu-los-angeles,(323) 739-4211,4.3
Terra Mia Highland Park,5837 York Blvd Los Angeles CA 90042,34.1270,-118.2092,Mexican coffee specialist with horchata frappe,7:00 AM - 6:00 PM,https://www.yelp.com/biz/tierra-mia-coffee-highland-park,(323) 739-4774,4.2
Horror Vibes Coffee,5259 Lankershim Blvd North Hollywood CA 91601,34.1658,-118.3881,Spooky themed coffee shop with horror decorations,7:00 AM - 8:00 PM,https://www.yelp.com/biz/horror-vibes-coffee-north-hollywood,(818) 985-4667,4.3
Cara Vana,5629 Lankershim Blvd North Hollywood CA 91601,34.1658,-118.3881,Gorgeous storefront with white chocolate matcha lattes,7:00 AM - 6:00 PM,https://www.yelp.com/biz/cara-vana-north-hollywood,(818) 985-3322,4.2
Porto's Bakery Burbank,3614 W Magnolia Blvd Burbank CA 91505,34.1658,-118.3881,Cuban bakery pride of the Valley with guava pastries,6:30 AM - 8:00 PM,https://www.yelp.com/biz/portos-bakery-burbank,(818) 846-9100,4.6
Lou The French On The Block,3112 W Magnolia Blvd Burbank CA 91505,34.1658,-118.3881,Best almond croissant in LA,7:00 AM - 3:00 PM,https://www.yelp.com/biz/lou-the-french-on-the-block-burbank,(818) 848-5683,4.5
San Fernando Coffee Company,1334 Truman St San Fernando CA 91340,34.2819,-118.4389,Bold complex flavors with handhelds and crepes,6:00 AM - 6:00 PM,https://www.yelp.com/biz/san-fernando-coffee-company,(818) 365-4455,4.1
Equator Coffees,13425 Maxella Ave #335 Marina del Rey CA 90292,33.9803,-118.4332,First SoCal branch in sleek Culver City setting,6:30 AM - 6:00 PM,https://www.yelp.com/biz/equator-coffees-marina-del-rey,(310) 823-9946,4.2
The Village Well,11104 Washington Blvd Culver City CA 90232,34.0247,-118.3733,Groovy bookstore with watermelon basil agua frescas,8:00 AM - 8:00 PM,https://www.yelp.com/biz/the-village-well-culver-city,(310) 839-6131,4.3
Chi Cha San Chen,140 W Valley Blvd #209 San Gabriel CA 91776,34.0798,-118.0988,Famous Taiwanese tea with zen ambiance,11:00 AM - 10:00 PM,https://www.yelp.com/biz/chi-cha-san-chen-san-gabriel,(626) 888-0881,4.5
Wushiland,140 W Valley Blvd San Gabriel CA 91776,34.0798,-118.0988,Beloved SoCal boba with black green and oolong bases,11:00 AM - 11:00 PM,https://www.yelp.com/biz/wushiland-boba-san-gabriel,(626) 888-0779,4.4
Latea,9039 Culver Blvd Culver City CA 90232,34.0247,-118.3733,Creme Brulee Matcha Latte with premium organic matcha,10:00 AM - 9:00 PM,https://www.yelp.com/biz/latea-culver-city,(310) 559-9995,4.3
Loose Leaf Boba Company,453 S Spring St Los Angeles CA 90013,34.0524,-118.2437,DTLA keepin it real ethos with sustainable practices,11:00 AM - 9:00 PM,https://www.yelp.com/biz/loose-leaf-boba-company-los-angeles,(213) 620-3888,4.2
Tea Master,123 Japanese Village Plaza Mall Los Angeles CA 90012,34.0495,-118.2382,Tokyo natives treating tea with sincerity and love,10:00 AM - 8:00 PM,https://www.yelp.com/biz/tea-master-los-angeles,(213) 680-9988,4.6
Junbi,1433 Westwood Blvd Los Angeles CA 90024,34.0522,-118.4437,15 matcha flavors from blueberry to yuzu dragonfruit,11:00 AM - 10:00 PM,https://www.yelp.com/biz/junbi-los-angeles,(310) 477-5598,4.4
Motto Tea Cafe,87 W Colorado Blvd Pasadena CA 91105,34.1458,-118.1448,Customizable matcha drinks and Japanese souffle pancakes,10:00 AM - 9:00 PM,https://www.yelp.com/biz/motto-tea-cafe-pasadena,(626) 577-9988,4.3
Spot Coffee & More,3324 W 6th St Los Angeles CA 90020,34.0622,-118.3094,Koreatown late-night spot open until 2 AM,12:00 PM - 2:00 AM,https://www.yelp.com/biz/spot-coffee-more-los-angeles,(213) 385-2233,4.1
Astro Family Restaurant,7242 Melrose Ave Los Angeles CA 90046,34.0837,-118.3483,24-hour diner and coffee shop,Open 24 hours,https://www.yelp.com/biz/astro-family-restaurant-los-angeles,(323) 663-9241,4.0
Hey Hey,5108 York Blvd Los Angeles CA 90042,34.1270,-118.2092,Vietnamese iced coffee with salted cream and mint,7:00 AM - 5:00 PM,https://www.yelp.com/biz/hey-hey-los-angeles,(323) 739-4455,4.2
Little Fluffy Head,4814 Eagle Rock Blvd Los Angeles CA 90041,34.1397,-118.2094,Chedd-cha matcha latte with cheese topping,10:00 AM - 8:00 PM,https://www.yelp.com/biz/little-fluffy-head-los-angeles,(323) 259-9988,4.1
Mandarin Coffee Stand,685 S Arroyo Pkwy Pasadena CA 91105,34.1458,-118.1448,Chinese Yunnan province beans with unique espresso,7:00 AM - 3:00 PM,https://www.yelp.com/biz/mandarin-coffee-stand-pasadena,(626) 577-8833,4.3
Dayglow Coffee,1680 N Vermont Ave Los Angeles CA 90027,34.1089,-118.2894,Rotating international roasters with Totoro lattes,7:00 AM - 6:00 PM,https://www.yelp.com/biz/dayglow-coffee-los-angeles,(323) 644-0808,4.4
Upside Down,1061 Broxton Ave Los Angeles CA 90024,34.0522,-118.4437,Westwood art space with tiramisu and lavender lattes,7:00 AM - 9:00 PM,https://www.yelp.com/biz/upside-down-los-angeles,(310) 208-8877,4.2
Espresso Profeta,1129 Westwood Blvd Los Angeles CA 90024,34.0522,-118.4437,UCLA area calm oasis with guava cream cheese croissant,6:30 AM - 8:00 PM,https://www.yelp.com/biz/espresso-profeta-los-angeles,(310) 208-3534,4.3
